date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:04	1141/1141	---MCZ	200	added ('OK')	text/css	etag:W/%2265243748-475%22	https://gamaan.org/wp-includes/css/dist/patterns/style.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/css/dist/patterns/style.min1e39.css	(from https://gamaan.org/)
21:15:04	17717/17717	---MCZ	200	added ('OK')	text/css	etag:W/%226512e95e-4535%22	https://gamaan.org/wp-includes/css/dist/editor/style.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/css/dist/editor/style.min1e39.css	(from https://gamaan.org/)
21:15:05	135/135	---M--	200	added ('OK')	text/css	etag:%22654de489-87%22	https://gamaan.org/wp-content/plugins/simple-link-directory/gutenberg/sld-block/dist/blocks.style.build.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/simple-link-directory/gutenberg/sld-block/dist/blocks.style.build1e39.css	(from https://gamaan.org/)
21:15:05	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22656abe93-b4e%22	https://gamaan.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.4	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/contact-form-7/includes/css/styles69c8.css	(from https://gamaan.org/)
21:15:05	55414/55414	---MCZ	200	added ('OK')	text/css	etag:W/%22654de59f-d876%22	https://gamaan.org/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-full.min.css?ver=1.8.3.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/wpforms/assets/css/frontend/classic/wpforms-full.minbefe.css	(from https://gamaan.org/)
21:15:05	547/547	---MCZ	200	added ('OK')	text/css	etag:W/%2262442a1f-223%22	https://gamaan.org/wp-content/themes/dotlife/css/core/reset.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/core/reset1e39.css	(from https://gamaan.org/)
21:15:06	6976/6976	---MCZ	200	added ('OK')	text/css	etag:W/%2262442a1f-1b40%22	https://gamaan.org/wp-content/themes/dotlife/css/core/wordpress.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/core/wordpress1e39.css	(from https://gamaan.org/)
21:15:06	177264/177264	---MCZ	200	added ('OK')	text/css	etag:W/%2262442a22-2b470%22	https://gamaan.org/wp-content/themes/dotlife/css/core/screen.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/core/screen1e39.css	(from https://gamaan.org/)
21:15:06	24600/24600	---M--	200	added ('OK')	application/font-woff	etag:%2262442eb4-6018%22	https://gamaan.org/wp-content/uploads/2022/03/Jost-300-Light.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/Jost-300-Light.woff	(from https://gamaan.org/)
21:15:06	32568/32568	---M--	200	added ('OK')	application/font-woff	etag:%2262442ed0-7f38%22	https://gamaan.org/wp-content/uploads/2022/03/Jost-400-Book.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/Jost-400-Book.woff	(from https://gamaan.org/)
21:15:07	40380/40380	---M--	200	added ('OK')	application/font-woff	etag:%2262442ed2-9dbc%22	https://gamaan.org/wp-content/uploads/2022/03/Jost-500-Medium.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/Jost-500-Medium.woff	(from https://gamaan.org/)
21:15:07	41620/41620	---M--	200	added ('OK')	application/font-woff	etag:%2262442f0a-a294%22	https://gamaan.org/wp-content/uploads/2022/03/Jost-700-Bold.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/Jost-700-Bold.woff	(from https://gamaan.org/)
21:15:07	40888/40888	---M--	200	added ('OK')	application/font-woff	etag:%2262442f63-9fb8%22	https://gamaan.org/wp-content/uploads/2022/03/HKGrotesk-Regular.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/HKGrotesk-Regular.woff	(from https://gamaan.org/)
21:15:07	40620/40620	---M--	200	added ('OK')	application/font-woff	etag:%2262442e13-9eac%22	https://gamaan.org/wp-content/uploads/2022/03/HKGrotesk-SemiBold.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/HKGrotesk-SemiBold.woff	(from https://gamaan.org/)
21:15:08	38916/38916	---M--	200	added ('OK')	application/font-woff	etag:%2262442e98-9804%22	https://gamaan.org/wp-content/uploads/2022/03/HKGrotesk-Bold.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/HKGrotesk-Bold.woff	(from https://gamaan.org/)
21:15:08	142780/142780	---M--	200	added ('OK')	application/font-woff	etag:%2262442f64-22dbc%22	https://gamaan.org/wp-content/uploads/2022/03/Inter-Medium.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/Inter-Medium.woff	(from https://gamaan.org/)
21:15:08	143464/143464	---M--	200	added ('OK')	application/font-woff	etag:%2262442f53-23068%22	https://gamaan.org/wp-content/uploads/2022/03/Inter-Bold.woff	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/03/Inter-Bold.woff	(from https://gamaan.org/)
21:15:08	21043/21043	---MCZ	200	added ('OK')	text/css	etag:W/%226244276b-5233%22	https://gamaan.org/wp-content/themes/dotlife/css/modulobox.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/modulobox1e39.css	(from https://gamaan.org/)
21:15:09	1515/1515	---MCZ	200	added ('OK')	text/css	etag:W/%2262442a24-5eb%22	https://gamaan.org/wp-content/themes/dotlife/css/menus/leftalignmenu.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/menus/leftalignmenu1e39.css	(from https://gamaan.org/)
21:15:09	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%226244276a-87ae%22	https://gamaan.org/wp-content/themes/dotlife/css/font-awesome.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/font-awesome.min1e39.css	(from https://gamaan.org/)
21:15:09	16396/16396	---MCZ	200	added ('OK')	text/css	etag:W/%226244276b-400c%22	https://gamaan.org/wp-content/themes/dotlife/css/themify-icons.css?ver=4.3	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/themify-iconsd7b7.css	(from https://gamaan.org/)
21:15:09	2171/2171	---MCZ	200	added ('OK')	text/css	etag:W/%22624426ae-87b%22	https://gamaan.org/wp-content/themes/dotlife-child/style.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife-child/style1e39.css	(from https://gamaan.org/)
21:15:09	1731/1731	---MCZ	200	added ('OK')	text/css	etag:W/%22654de483-6c3%22	https://gamaan.org/wp-content/plugins/searchwp-live-ajax-search/assets/styles/style.css?ver=1.7.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/searchwp-live-ajax-search/assets/styles/styleba3a.css	(from https://gamaan.org/)
21:15:10	13274/13274	---MCZ	200	added ('OK')	text/css	etag:W/%22654de5a8-33da%22	https://gamaan.org/wp-content/plugins/loftloader/assets/css/loftloader.min.css?ver=2022022501	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/loftloader/assets/css/loftloader.min3a45.css	(from https://gamaan.org/)
21:15:10	19571/19571	---MCZ	200	added ('OK')	text/css	etag:W/%2265740291-4c73%22	https://gamaan.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://gamaan.org/)
21:15:10	117332/117332	---MCZ	200	added ('OK')	text/css	etag:W/%2265740222-1ca54%22	https://gamaan.org/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/elementor/assets/css/frontend-lite.minaad7.css	(from https://gamaan.org/)
21:15:10	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%22657402b7-324c%22	https://gamaan.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://gamaan.org/)
21:15:11	1335/1335	---MCZ	200	added ('OK')	text/css	etag:W/%22654de5e1-537%22	https://gamaan.org/wp-content/uploads/elementor/css/post-10.css?ver=1694163475	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/elementor/css/post-103e68.css	(from https://gamaan.org/)
21:15:11	12577/12577	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a6-3121%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/animatedheadline.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/animatedheadline1e39.css	(from https://gamaan.org/)
21:15:11	2522/2522	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a5-9da%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/flickity.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/flickity1e39.css	(from https://gamaan.org/)
21:15:11	2496/2496	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a3-9c0%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/justifiedGallery.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/justifiedGallery1e39.css	(from https://gamaan.org/)
21:15:12	3020/3020	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a9-bcc%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/owl.theme.default.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/owl.theme.default.min1e39.css	(from https://gamaan.org/)
21:15:12	950/950	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a4-3b6%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/switchery.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/switchery1e39.css	(from https://gamaan.org/)
21:15:12	329959/329959	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a7-508e7%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/dotlife-elementor.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/dotlife-elementor1e39.css	(from https://gamaan.org/)
21:15:12	32748/32748	---MCZ	200	added ('OK')	text/css	etag:W/%22624420a8-7fec%22	https://gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/dotlife-elementor-responsive.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/dotlife-elementor/assets/css/dotlife-elementor-responsive1e39.css	(from https://gamaan.org/)
21:15:13	21999/21999	---MCZ	200	added ('OK')	text/css	etag:W/%22654de5e1-55ef%22	https://gamaan.org/wp-content/uploads/elementor/css/post-1853.css?ver=1694181300	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/elementor/css/post-1853814f.css	(from https://gamaan.org/)
21:15:13	52574/52574	---MCZ	200	added ('OK')	text/css	etag:W/%2262442a1f-cd5e%22	https://gamaan.org/wp-content/themes/dotlife/css/core/responsive.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/css/core/responsive1e39.css	(from https://gamaan.org/)
21:15:13	0/0	---M--	200	added ('OK')	text/css	etag:%2262442ad6-0%22	https://gamaan.org/wp-content/themes/dotlife/modules/kirki/assets/css/kirki-styles.css?ver=3.0.21	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/modules/kirki/assets/css/kirki-stylesa13e.css	(from https://gamaan.org/)
21:15:14	367627/367627	---MCZ	200	added ('OK')	application/json	date:Thu,%2025%20Jan%202024%2017:15:14%20GMT	https://gamaan.org/wp-json/	C:/My%20Web%20Sites/UM/gamaan.org/wp-json/index.html	(from https://gamaan.org/)
21:15:15	46185/46185	---MCZ	200	added ('OK')	application/json	date:Thu,%2025%20Jan%202024%2017:15:15%20GMT	https://gamaan.org/wp-json/wp/v2/pages/1853	C:/My%20Web%20Sites/UM/gamaan.org/wp-json/wp/v2/pages/1853.json	(from https://gamaan.org/)
21:15:16	774/774	---MCZ	200	added ('OK')	text/xml	date:Thu,%2025%20Jan%202024%2017:15:16%20GMT	https://gamaan.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/UM/gamaan.org/xmlrpc0db0.php	(from https://gamaan.org/)
21:15:17	2049/2049	---MCZ	200	added ('OK')	application/json	date:Thu,%2025%20Jan%202024%2017:15:17%20GMT	https://gamaan.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgamaan.org%2F	C:/My%20Web%20Sites/UM/gamaan.org/wp-json/oembed/1.0/embed28e6.json	(from https://gamaan.org/)
21:15:18	2208/2208	---MCZ	200	added ('OK')	text/xml	date:Thu,%2025%20Jan%202024%2017:15:18%20GMT	https://gamaan.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgamaan.org%2F&format=xml	C:/My%20Web%20Sites/UM/gamaan.org/wp-json/oembed/1.0/embed0a1a	(from https://gamaan.org/)
21:15:18	1238/1238	---M--	200	added ('OK')	image/png	etag:%2276727d45e7eeeac8%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/02/cropped-glogo.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/02/cropped-glogoe43b.png	(from https://gamaan.org/)
21:15:19	3998/3998	---M--	200	added ('OK')	image/png	etag:%224454ab7aee529be1%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/02/cropped-glogo.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/02/cropped-glogo98d8.png	(from https://gamaan.org/)
21:15:19	3838/3838	---M--	200	added ('OK')	image/png	etag:%22bda3e8398bef0c03%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/02/cropped-glogo.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/02/cropped-glogof9b5.png	(from https://gamaan.org/)
21:15:20	12739/12739	---M--	200	added ('OK')	image/png	etag:%2262442d92-31c3%22	https://gamaan.org/wp-content/uploads/2022/02/glogo.png	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2022/02/glogo.png	(from https://gamaan.org/)
21:15:20	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2025%20Jan%202024%2017:15:20%20GMT	https://gamaan.org/wp-content/themes/dotlife/images/	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/themes/dotlife/images/index.html	(from https://gamaan.org/)
21:15:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jan%202024%2017:15:21%20GMT	https://gamaan.org/fa	C:/My%20Web%20Sites/UM/gamaan.org/fa	(from https://gamaan.org/)
21:15:27	129963/129963	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:23%20GMT	https://gamaan.org/infographics/	C:/My%20Web%20Sites/UM/gamaan.org/infographics/index.html	(from https://gamaan.org/)
21:15:28	126953/126953	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:23%20GMT	https://gamaan.org/survey-reports/	C:/My%20Web%20Sites/UM/gamaan.org/survey-reports/index.html	(from https://gamaan.org/)
21:15:29	126962/126962	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:24%20GMT	https://gamaan.org/timeline/	C:/My%20Web%20Sites/UM/gamaan.org/timeline/index.html	(from https://gamaan.org/)
21:15:29	119738/119738	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:23%20GMT	https://gamaan.org/academic-activities-and-publications/	C:/My%20Web%20Sites/UM/gamaan.org/academic-activities-and-publications/index.html	(from https://gamaan.org/)
21:15:29	3671/3671	---M--	200	added ('OK')	image/png	etag:%22658986d4-e57%22	https://gamaan.org/wp-content/uploads/2023/12/gamaan-logo-icon-for-site.png	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/uploads/2023/12/gamaan-logo-icon-for-site.png	(from https://gamaan.org/)
21:15:30	110019/110019	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:11:57%20GMT	https://gamaan.org/methodology/	C:/My%20Web%20Sites/UM/gamaan.org/methodology/index.html	(from https://gamaan.org/)
21:15:30	114032/114032	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:11:17%20GMT	https://gamaan.org/about-us/	C:/My%20Web%20Sites/UM/gamaan.org/about-us/index.html	(from https://gamaan.org/)
21:15:31	491825/491825	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:10:46%20GMT	https://gamaan.org/gamaan-in-media/	C:/My%20Web%20Sites/UM/gamaan.org/gamaan-in-media/index.html	(from https://gamaan.org/)
21:15:32	105933/105933	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:31%20GMT	https://gamaan.org/donate/	C:/My%20Web%20Sites/UM/gamaan.org/donate/index.html	(from https://gamaan.org/)
21:15:32	106458/106458	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:32%20GMT	https://gamaan.org/contact/	C:/My%20Web%20Sites/UM/gamaan.org/contact/index.html	(from https://gamaan.org/)
21:15:33	112761/112761	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:32%20GMT	https://gamaan.org/subscribe/	C:/My%20Web%20Sites/UM/gamaan.org/subscribe/index.html	(from https://gamaan.org/)
21:15:34	149492/149492	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:33%20GMT	https://gamaan.org/fa/%d8%ae%d8%a7%d9%86%d9%87/	C:/My%20Web%20Sites/UM/gamaan.org/fa/%d8%ae%d8%a7%d9%86%d9%87/index-2.html	(from https://gamaan.org/)
21:15:35	114270/114270	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:34%20GMT	https://gamaan.org/2023/09/08/iranians-attitudes-toward-media-2023/	C:/My%20Web%20Sites/UM/gamaan.org/2023/09/08/iranians-attitudes-toward-media-2023/index.html	(from https://gamaan.org/)
21:15:35	2310601/2310601	---M--	200	added ('OK')	image/jpeg	etag:%224864d82eb81701a7%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/03/for-gamaan-6-4.jpg?ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/03/for-gamaan-6-4eb45.jpg	(from https://gamaan.org/)
21:15:36	602738/602738	---M--	200	added ('OK')	image/jpeg	etag:%228f6cdd57cb96aeaf%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2023/09/GAMAAN-Media-Survey-cover-for-website-extended.jpg?ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2023/09/GAMAAN-Media-Survey-cover-for-website-extendedeb45.jpg	(from https://gamaan.org/)
21:15:36	587730/587730	---M--	200	added ('OK')	image/jpeg	etag:%225094338f4ba15060%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2023/08/Figure-1.jpg?ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2023/08/Figure-1eb45.jpg	(from https://gamaan.org/)
21:15:36	203902/203902	---M--	200	added ('OK')	image/jpeg	etag:%22dbd6b03f748d640c%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2023/02/Iran-Protests-for-Website.jpeg?ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2023/02/Iran-Protests-for-Websiteeb45.jpg	(from https://gamaan.org/)
21:15:36	52297/52297	---M--	200	added ('OK')	image/jpeg	etag:%22347ab3fb619139ab%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/11/NYMAG-e1667339481570.jpg?ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/11/NYMAG-e1667339481570eb45.jpg	(from https://gamaan.org/)
21:15:36	449007/449007	---M--	200	added ('OK')	image/jpeg	etag:%225fc40a77ff238744%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/12/FjYyb8aWAAABsEA.jpeg?ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/12/FjYyb8aWAAABsEAeb45.jpg	(from https://gamaan.org/)
21:15:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jan%202024%2017:15:36%20GMT	https://gamaan.org/?p=5358	C:/My%20Web%20Sites/UM/gamaan.org/index721e.html	(from https://gamaan.org/)
21:15:37	509/509	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22654de2f2-1fd%22	https://gamaan.org/wp-content/plugins/wpforms/assets/images/submit-spin.svg	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/wpforms/assets/images/submit-spin.svg	(from https://gamaan.org/)
21:15:37	91029/91029	---M--	200	added ('OK')	image/jpeg	etag:%2262f80fa01d232e6d%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2023/09/GAMAAN-Media-Survey-cover-for-website.jpg?resize=610%2C610&ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2023/09/GAMAAN-Media-Survey-cover-for-website4a5f.jpg	(from https://gamaan.org/)
21:15:37	104491/104491	---M--	200	added ('OK')	image/jpeg	etag:%2288ac5ab2edb33161%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2023/02/Iran-Protests-for-Website.jpeg?fit=768%2C576&ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2023/02/Iran-Protests-for-Websited983.jpg	(from https://gamaan.org/)
21:15:37	61533/61533	---M--	200	added ('OK')	image/jpeg	etag:%226db960c08553a714%22	https://i0.wp.com/gamaan.org/wp-content/uploads/2022/03/Poster-for-Website-.jpg?fit=768%2C808&ssl=1	C:/My%20Web%20Sites/UM/i0.wp.com/gamaan.org/wp-content/uploads/2022/03/Poster-for-Website-d170.jpg	(from https://gamaan.org/)
21:15:39	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%226574028b-4824%22	https://gamaan.org/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.18.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/elementor/assets/lib/animations/animations.minaad7.css	(from https://gamaan.org/)
21:15:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jan%202024%2017:15:39%20GMT	https://gamaan.org/category/report/	C:/My%20Web%20Sites/UM/gamaan.org/category/report/index.html	(from https://gamaan.org/)
21:15:40	121984/121984	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:39%20GMT	https://gamaan.org/2022/03/31/political-systems-survey-english/	C:/My%20Web%20Sites/UM/gamaan.org/2022/03/31/political-systems-survey-english/index.html	(from https://gamaan.org/)
21:15:40	11749/11749	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654de5c2-2de5%22	https://gamaan.org/wp-content/plugins/animated-typed-js-shortcode/js/typed.min.js?ver=2.0.11	C:/My%20Web%20Sites/UM/gamaan.org/wp-content/plugins/animated-typed-js-shortcode/js/typed.min3c89.js	(from https://gamaan.org/)
21:15:41	120304/120304	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:15:39%20GMT	https://gamaan.org/2023/02/04/protests_survey/	C:/My%20Web%20Sites/UM/gamaan.org/2023/02/04/protests_survey/index.html	(from https://gamaan.org/)
21:15:41	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://gamaan.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://gamaan.org/)
